City,Code,WaterReceived
Estremoz,C_9,53
Évora,C_10,220
Faro,C_11,407
Guarda,C_12,177
Lagos,C_13,0
Leiria,C_14,406
Lisboa,C_15,12250
Portalegre,C_16,96
Porto,C_17,5650
Santarém,C_18,200
Setúbal,C_19,780
Viana do Castelo,C_20,100
Vila real,C_21,135
Viseu,C_22,330
City,Code,WaterReceived
Alcacer do Sal,C_1,52
Aveiro,C_2,515
Beja,C_3,110
Braga,C_4,1208
Bragança,C_5,125
Castelo Branco,C_6,230
Coimbra,C_7,896
Covilhã,C_8,100
Estremoz,C_9,53
Évora,C_10,220
Faro,C_11,407
Guarda,C_12,177
Lagos,C_13,123
Leiria,C_14,406
Lisboa,C_15,12250
Portalegre,C_16,96
Porto,C_17,5650
Santarém,C_18,200
Setúbal,C_19,780
Viana do Castelo,C_20,100
Vila real,C_21,135
Viseu,C_22,330
City,Code,WaterReceived
Alcacer do Sal,C_1,52
Aveiro,C_2,515
Beja,C_3,110
Braga,C_4,1208
Bragança,C_5,125
Castelo Branco,C_6,230
Coimbra,C_7,896
Covilhã,C_8,100
Estremoz,C_9,53
Évora,C_10,220
Faro,C_11,200
Guarda,C_12,177
Lagos,C_13,120
Leiria,C_14,406
Lisboa,C_15,12250
Portalegre,C_16,96
Porto,C_17,5650
Santarém,C_18,200
Setúbal,C_19,780
Viana do Castelo,C_20,100
Vila real,C_21,135
Viseu,C_22,330
City,Code,WaterReceived
Alcacer do Sal,C_1,52
Aveiro,C_2,515
Beja,C_3,110
Braga,C_4,1208
Bragança,C_5,125
Castelo Branco,C_6,230
Coimbra,C_7,896
Covilhã,C_8,100
Estremoz,C_9,53
Évora,C_10,220
Faro,C_11,407
Guarda,C_12,177
Lagos,C_13,123
Leiria,C_14,406
Lisboa,C_15,12250
Portalegre,C_16,96
Porto,C_17,5650
Santarém,C_18,200
Setúbal,C_19,780
Viana do Castelo,C_20,100
Vila real,C_21,135
Viseu,C_22,330
City,Code,WaterReceived
Alcacer do Sal,C_1,52
Aveiro,C_2,515
Beja,C_3,110
Braga,C_4,1208
Bragança,C_5,125
Castelo Branco,C_6,230
Coimbra,C_7,896
Covilhã,C_8,100
Estremoz,C_9,53
Évora,C_10,220
Faro,C_11,407
Guarda,C_12,177
Lagos,C_13,123
Leiria,C_14,406
Lisboa,C_15,12250
Portalegre,C_16,96
Porto,C_17,5650
Santarém,C_18,200
Setúbal,C_19,780
Viana do Castelo,C_20,100
Vila real,C_21,135
Viseu,C_22,330
City,Code,WaterReceived
Alcacer do Sal,C_1,52
Aveiro,C_2,515
Beja,C_3,110
Braga,C_4,1208
Bragança,C_5,125
Castelo Branco,C_6,230
Coimbra,C_7,896
Covilhã,C_8,100
Estremoz,C_9,53
Évora,C_10,220
Faro,C_11,407
Guarda,C_12,177
Lagos,C_13,123
Leiria,C_14,406
Lisboa,C_15,12250
Portalegre,C_16,96
Porto,C_17,5650
Santarém,C_18,200
Setúbal,C_19,780
Viana do Castelo,C_20,100
Vila real,C_21,135
Viseu,C_22,330
